"end_of_month","year_month","gross_revenue","gross_margin","gross_margin_pp","stock_value","sourcing_value"
"31/01/2022","2022-01","12866098","2412580","131.32","9188301","13489783"
"28/02/2022","2022-02","11904926","2232550","131.32","11585773","16162948"
"31/03/2022","2022-03","14264033","2677042","131.32","10899781","16074064"
"30/04/2022","2022-04","14185591","2662103","131.32","11698550","16852856"
"31/05/2022","2022-05","14872886","2791411","131.32","11811910","17418809"
"30/06/2022","2022-06","15372348","2885451","131.32","11954630","17659612"
"31/07/2022","2022-07","15584860","2925441","131.32","11997213","17901321"
"31/08/2022","2022-08","15798172","2965607","131.32","12517151","18622067"
"30/09/2022","2022-09","16434240","3083646","131.32","14137244","20883465"
"31/10/2022","2022-10","18429956","3458431","131.32","20562586","29708961"
"30/11/2022","2022-11","26218583","4920895","131.32","15469853","24305793"
"31/12/2022","2022-12","21450210","4024612","131.32","14291316","14578912"
"31/01/2022","2022-01","12866098","2412580","131.32","9188301","13489783"
"28/02/2022","2022-02","11904926","2232550","131.32","11585773","16162948"
"31/03/2022","2022-03","14264033","2677042","131.32","10899781","16074064"
"30/04/2022","2022-04","14185591","2662103","131.32","11698550","16852856"
"31/05/2022","2022-05","14872886","2791411","131.32","11811910","17418809"
"30/06/2022","2022-06","15372348","2885451","131.32","11954630","17659612"
"31/07/2022","2022-07","15584860","2925441","131.32","11997213","17901321"
"31/08/2022","2022-08","15798172","2965607","131.32","12517151","18622067"
"30/09/2022","2022-09","16434240","3083646","131.32","14137244","20883465"
"31/10/2022","2022-10","18429956","3458431","131.32","20562586","29708961"
"30/11/2022","2022-11","26218583","4920895","131.32","15469853","24305793"
"31/12/2022","2022-12","21450210","4024612","131.32","14291316","14578912"
